route_name,direction,stop_seq,stop_lon,stop_lat,stop_name,stop_full_name
102,1,5,116.337296,39.922977,甘家口东,北京市西城区甘家口东(公交站)
102,1,6,116.340958,39.9231,阜外西口,北京市西城区阜外西口(公交站)
102,1,7,116.345917,39.923244,展览路,北京市西城区展览路(公交站)
102,1,8,116.350594,39.923397,阜成门外,北京市西城区阜成门外(公交站)
102,1,9,116.354397,39.923516,阜成门,北京市西城区阜成门(公交站)
102,1,10,116.358269,39.92276,阜成门内,北京市西城区阜成门内(公交站)
102,1,11,116.367065,39.923916,白塔寺东,北京市西城区白塔寺东(公交站)
102,1,12,116.37145,39.923984,西四路口西,北京市西城区西四路口西(公交站)
102,1,13,116.373596,39.919163,缸瓦市,北京市西城区缸瓦市(公交站)
102,1,14,116.373733,39.91566,甘石桥,北京市西城区甘石桥(公交站)
102,1,15,116.373906,39.910868,西单商场,北京市西城区西单商场(公交站)
102,1,16,116.37421,39.905825,西单路口南,北京市西城区西单路口南(公交站)
102,1,17,116.374359,39.901173,宣武门内,北京市西城区宣武门内(公交站)
102,1,18,116.374565,39.894764,校场口,北京市西城区校场口(公交站)
102,1,19,116.374358,39.891602,菜市口北,北京市西城区菜市口北(公交站)
102,1,20,116.378952,39.889259,果子巷,北京市西城区果子巷(公交站)
102,1,21,116.384731,39.887526,虎坊桥路口南,北京市西城区虎坊桥路口南(公交站)
102,1,22,116.387321,39.882133,太平街北口,北京市西城区太平街北口(公交站)
102,1,23,116.387465,39.879935,太平街,北京市西城区太平街(公交站)
102,1,24,116.387734,39.873724,陶然桥北,北京市西城区陶然桥北(公交站)
102,1,25,116.383987,39.868408,南站幸福路,南站幸福路(公交站)
102,1,26,116.377671,39.866619,北京南站,北京市丰台区北京南站(公交站)
103,0,1,116.42482,39.904751,北京站西,北京市东城区北京站西(公交站)
103,0,2,116.421658,39.902496,北京站西街,北京站西街(公交站)
103,0,3,116.413582,39.900932,台基厂路口东,北京市东城区台基厂路口东(公交站)
103,0,4,116.411285,39.909514,王府井路口北,北京市东城区王府井路口北(公交站)
103,0,5,116.41378,39.911697,校尉胡同,校尉胡同(公交站)
103,0,6,116.412331,39.915503,新东安市场,北京市东城区新东安市场(公交站)
103,0,7,116.408529,39.915404,东安门大街,东安门大街(公交站)
103,0,8,116.406541,39.919132,骑河楼,北京市东城区骑河楼(公交站)
103,0,9,116.404961,39.924267,沙滩路口西,北京市东城区沙滩路口西(公交站)
103,0,10,116.395645,39.923275,神武门,北京市西城区神武门(公交站)
103,0,11,116.389041,39.922374,北海,北京市西城区北海(公交站)
103,0,12,116.379333,39.922626,西安门,北京市西城区西安门(公交站)
103,0,13,116.374908,39.924088,西四路口东,北京市西城区西四路口东(公交站)
103,0,14,116.367065,39.923916,白塔寺东,北京市西城区白塔寺东(公交站)
103,0,15,116.358269,39.92276,阜成门内,北京市西城区阜成门内(公交站)
103,0,16,116.354397,39.923516,阜成门,北京市西城区阜成门(公交站)
103,0,17,116.350594,39.923397,阜成门外,北京市西城区阜成门外(公交站)
103,0,18,116.345917,39.923244,展览路,北京市西城区展览路(公交站)
103,0,19,116.340958,39.9231,阜外西口,北京市西城区阜外西口(公交站)
103,0,20,116.33448,39.92408,甘家口北,北京市海淀区甘家口北(公交站)
103,0,21,116.334076,39.928785,甘家口大厦,北京市西城区甘家口大厦(公交站)
103,0,22,116.333794,39.931454,百万庄,北京市西城区百万庄(公交站)
103,0,23,116.333374,39.93541,二里沟,北京市西城区二里沟(公交站)
103,0,24,116.340382,39.937018,动物园枢纽站,北京市西城区动物园枢纽站(公交站)
103,1,1,116.340382,39.937018,动物园枢纽站,北京市西城区动物园枢纽站(公交站)
103,1,2,116.333374,39.93541,二里沟,北京市西城区二里沟(公交站)
103,1,3,116.333794,39.931454,百万庄,北京市西城区百万庄(公交站)
103,1,4,116.334076,39.928785,甘家口大厦,北京市西城区甘家口大厦(公交站)
103,1,5,116.337296,39.922977,甘家口东,北京市西城区甘家口东(公交站)
103,1,6,116.340958,39.9231,阜外西口,北京市西城区阜外西口(公交站)
103,1,7,116.345917,39.923244,展览路,北京市西城区展览路(公交站)
103,1,8,116.350594,39.923397,阜成门外,北京市西城区阜成门外(公交站)
103,1,9,116.354397,39.923516,阜成门,北京市西城区阜成门(公交站)
103,1,10,116.358269,39.92276,阜成门内,北京市西城区阜成门内(公交站)
103,1,11,116.367065,39.923916,白塔寺东,北京市西城区白塔寺东(公交站)
103,1,12,116.374908,39.924088,西四路口东,北京市西城区西四路口东(公交站)
103,1,13,116.379333,39.922626,西安门,北京市西城区西安门(公交站)
103,1,14,116.389041,39.922374,北海,北京市西城区北海(公交站)
103,1,15,116.395645,39.923275,神武门,北京市西城区神武门(公交站)
103,1,16,116.404961,39.924267,沙滩路口西,北京市东城区沙滩路口西(公交站)
103,1,17,116.406541,39.919132,骑河楼,北京市东城区骑河楼(公交站)
103,1,18,116.408529,39.915404,东安门大街,东安门大街(公交站)
103,1,19,116.412331,39.915503,新东安市场,北京市东城区新东安市场(公交站)
103,1,20,116.41378,39.911697,校尉胡同,校尉胡同(公交站)
103,1,21,116.411285,39.909514,王府井路口北,北京市东城区王府井路口北(公交站)
103,1,22,116.413582,39.900932,台基厂路口东,北京市东城区台基厂路口东(公交站)
103,1,23,116.415154,39.900982,崇文门西,北京市东城区崇文门西(公交站)
103,1,24,116.42482,39.904751,北京站西,北京市东城区北京站西(公交站)
104,0,1,116.42482,39.904751,北京站西,北京市东城区北京站西(公交站)
104,0,2,116.421658,39.902496,北京站西街,北京站西街(公交站)
104,0,3,116.418338,39.902613,崇文门内,北京市东城区崇文门内(公交站)
104,0,4,116.417847,39.909935,东单路口北,北京市东城区东单路口北(公交站)
104,0,5,116.417834,39.916437,米市大街,北京市东城区米市大街(公交站)
104,0,6,116.417671,39.920277,灯市东口,北京市东城区灯市东口(公交站)
104,0,7,116.411057,39.91991,灯市西口,北京市东城区灯市西口(公交站)
104,0,8,116.410789,39.925724,美术馆北,北京市东城区美术馆北(公交站)
104,0,9,116.409126,39.927773,大佛寺,北京市东城区大佛寺(公交站)
104,0,10,116.408989,39.931026,宽街路口南,北京市东城区宽街路口南(公交站)
104,0,11,116.408615,39.936068,北兵马司,北京市东城区北兵马司(公交站)
104,0,12,116.408511,39.938785,交道口南,北京市东城区交道口南(公交站)
104,0,13,116.40839,39.943681,方家胡同,北京市东城区方家胡同(公交站)
104,0,14,116.408356,39.946499,安定门内,北京市东城区安定门内(公交站)
104,0,15,116.408047,39.9526,地坛西门,北京市东城区地坛西门(公交站)
104,0,16,116.409828,39.959202,蒋宅口东,北京市东城区蒋宅口东(公交站)
104,0,17,116.413696,39.959255,兴化路南口,北京市东城区兴化路南口(公交站)
104,0,18,116.417686,39.959324,和平里北街,北京市东城区和平里北街(公交站)
104,0,19,116.423225,39.959431,和平里路口西,北京市东城区和平里路口西(公交站)
104,0,20,116.432137,39.958008,地铁柳芳站,北京市朝阳区地铁柳芳站(公交站)
104,1,1,116.432137,39.958008,地铁柳芳站,北京市朝阳区地铁柳芳站(公交站)
104,1,2,116.437027,39.959596,柳芳北街,北京市朝阳区柳芳北街(公交站)
104,1,3,116.440998,39.95967,国际展览中心,北京市朝阳区国际展览中心(公交站)
104,1,4,116.449231,39.961493,静安庄东,北京市朝阳区静安庄东(公交站)
104,1,5,116.445625,39.956415,左家庄东里,北京市朝阳区左家庄东里(公交站)
104,1,6,116.438934,39.9548,柳芳东口,北京市朝阳区柳芳东口(公交站)
104,1,7,116.435786,39.954622,柳芳西口,北京市朝阳区柳芳西口(公交站)
104,1,8,116.434796,39.958203,西坝河南路,北京市朝阳区西坝河南路(公交站)
104,1,9,116.430016,39.95956,地铁柳芳站(西行),北京市朝阳区地铁柳芳站(西行)(公交站)
104,1,10,116.423225,39.959431,和平里路口西,北京市东城区和平里路口西(公交站)
104,1,11,116.417686,39.959324,和平里北街,北京市东城区和平里北街(公交站)
104,1,12,116.413696,39.959255,兴化路南口,北京市东城区兴化路南口(公交站)
