stop_id,stop_name,stop_lon,stop_lat,stop_full_name
S0169,新源里,116.449135,39.948494,北京市朝阳区新源里(公交站)
S0170,塔园村,116.450363,39.943977,北京市朝阳区塔园村(公交站)
S0171,幸福三村,116.4505,39.939091,北京市朝阳区幸福三村(公交站)
S0172,工人体育场,116.45031,39.93301,北京市朝阳区工人体育场(公交站)
S0181,地安门内,116.39638,39.931411,北京市西城区地安门内(公交站)
S0182,护国寺,116.372896,39.935279,北京市西城区护国寺(公交站)
S0183,新街口南,116.372808,39.938542,北京市西城区新街口南(公交站)
S0186,西直门外,116.35096,39.940239,北京市西城区西直门外(公交站)
S0188,亮果厂,116.405922,39.929523,北京市东城区亮果厂(公交站)
S0197,大北窑南,116.461141,39.907391,北京市朝阳区大北窑南(公交站)
S0203,长虹桥西,116.459271,39.933694,北京市朝阳区长虹桥西(公交站)
S0204,三里屯,116.454527,39.933672,北京市朝阳区三里屯(公交站)
S0205,工人体育馆,116.442879,39.93367,北京市东城区工人体育馆(公交站)
S0206,东四十条桥东,116.438942,39.93367,北京市东城区东四十条桥东(公交站)
S0207,东四十条桥西,116.430969,39.933632,北京市东城区东四十条桥西(公交站)
S0208,东四十条,116.423927,39.933617,北京市东城区东四十条(公交站)
S0209,张自忠路,116.414597,39.933411,北京市东城区张自忠路(公交站)
S0210,宽街路口东,116.410866,39.933456,北京市东城区宽街路口东(公交站)
S0214,安华桥北,116.394562,39.971119,北京市朝阳区安华桥北(公交站)
S0215,安贞西里,116.394272,39.974014,北京市朝阳区安贞西里(公交站)
S0216,地铁北土城站,116.391991,39.976944,北京市朝阳区地铁北土城站(公交站)
S0221,呼家楼南,116.46138,39.917743,北京市朝阳区呼家楼南(公交站)
S0222,白云路,116.343381,39.905712,北京市西城区白云路(公交站)
S0224,木樨地北,116.334839,39.910645,北京市海淀区木樨地北(公交站)
S0225,玉渊潭东门,116.334787,39.91148,北京市西城区玉渊潭东门(公交站)
S0227,二里沟西口,116.332483,39.932457,北京市海淀区二里沟西口(公交站)
S0228,四道口东,116.326889,39.93235,北京市海淀区四道口东(公交站)
S0237,东冉村,116.275495,39.955677,北京市海淀区东冉村(公交站)
S0243,团结湖路北口,116.46701,39.932587,北京市朝阳区团结湖路北口(公交站)
S0245,水碓路口南,116.469592,39.921493,北京市朝阳区水碓路口南(公交站)
S0246,小庄路口北,116.469592,39.917622,北京市朝阳区小庄路口北(公交站)
S0249,北京体育馆,116.42907,39.884048,北京市东城区北京体育馆(公交站)
S0250,北京体育馆西,116.423447,39.883995,北京市东城区北京体育馆西(公交站)
S0251,法华寺,116.420654,39.885094,北京市东城区法华寺(公交站)
S0252,北新桥路口北,116.416756,39.94286,北京市东城区北新桥路口北(公交站)
S0253,雍和宫,116.416649,39.948105,北京市东城区雍和宫(公交站)
S0254,雍和宫桥东,116.418325,39.949197,北京市东城区雍和宫桥东(公交站)
S0255,北小街豁口,116.422897,39.949345,北京市东城区北小街豁口(公交站)
S0256,和平里南口,116.425226,39.952578,北京市东城区和平里南口(公交站)
S0262,和平里东街,116.425017,39.964627,北京市朝阳区和平里东街(公交站)
S0263,和平里路口南,116.425126,39.956901,北京市东城区和平里路口南(公交站)
S0267,东直门,116.437393,39.941036,北京市东城区东直门(公交站)
S0268,春秀路,116.442642,39.941128,北京市东城区春秀路(公交站)
S0269,团结湖,116.468286,39.933802,北京市朝阳区团结湖(公交站)
S0270,甜水园街北口,116.477444,39.933802,北京市朝阳区甜水园街北口(公交站)
S0271,甜水园北里,116.478377,39.930569,北京市朝阳区甜水园北里(公交站)
S0272,金台路口南,116.478043,39.921284,北京市朝阳区金台路口南(公交站)
S0273,红庙路口北,116.478127,39.917969,北京市朝阳区红庙路口北(公交站)
S0274,金台路口北,116.478255,39.924983,北京市朝阳区金台路口北(公交站)
S0276,和平里路口北,116.425152,39.960495,北京市东城区和平里路口北(公交站)
S0277,郝家湾,116.337463,39.932472,北京市西城区郝家湾(公交站)
S0278,地安门东,116.398056,39.933385,北京市东城区地安门东(公交站)
S0279,南锣鼓巷,116.402548,39.933416,北京市东城区南锣鼓巷(公交站)
S0280,外文印刷厂,116.322327,39.93243,北京市海淀区外文印刷厂(公交站)
S0281,老虎庙,116.315608,39.932409,北京市海淀区老虎庙(公交站)
S0284,大北窑东,116.46479,39.908596,北京市朝阳区大北窑东(公交站)
S0285,郎家园,116.468707,39.908138,北京市朝阳区郎家园(公交站)
S0286,八王坟南,116.477829,39.906155,北京市朝阳区八王坟南(公交站)
S0287,光辉桥南,116.477812,39.903911,北京市朝阳区光辉桥南(公交站)
S0288,九龙山,116.477452,39.896055,北京市朝阳区九龙山(公交站)
S0289,九龙山路口东,116.479592,39.893299,北京市朝阳区九龙山路口东(公交站)
S0290,大郊亭桥西,116.486755,39.893093,北京市朝阳区大郊亭桥西(公交站)
S0291,大郊亭桥东,116.492081,39.893284,北京市朝阳区大郊亭桥东(公交站)
S0292,地铁百子湾站,116.497096,39.89332,北京市朝阳区地铁百子湾站(公交站)
S0293,唐家村,116.503366,39.893138,北京市朝阳区唐家村(公交站)
S0294,小海子,116.509094,39.893192,北京市朝阳区小海子(公交站)
S0295,四根旗杆,116.513321,39.893162,北京市朝阳区四根旗杆(公交站)
S0296,方家村,116.51902,39.893112,北京市朝阳区方家村(公交站)
S0297,朝阳半壁店,116.525154,39.893093,北京市朝阳区朝阳半壁店(公交站)
S0298,观音堂北,116.527396,39.888798,北京市朝阳区观音堂北(公交站)
S0299,观音堂,116.527539,39.884588,北京市朝阳区观音堂(公交站)
S0300,古塔公园,116.529036,39.878715,北京市朝阳区古塔公园(公交站)
S0301,王四营,116.530447,39.873429,北京市朝阳区王四营(公交站)
S0302,王四营桥东,116.532999,39.869787,北京市朝阳区王四营桥东(公交站)
S0303,孛罗营村北,116.536064,39.865929,北京市朝阳区孛罗营村北(公交站)
S0304,孛罗营,116.537678,39.862982,北京市朝阳区孛罗营(公交站)
S0305,王四营桥南,116.530872,39.867309,北京市朝阳区王四营桥南(公交站)
S0306,八王坟西,116.474692,39.908056,北京市朝阳区八王坟西(公交站)
S0307,石榴园东,116.418633,39.845933,北京市丰台区石榴园东(公交站)
S0308,石榴园,116.414648,39.846545,北京市丰台区石榴园(公交站)
S0309,石榴园北,116.41465,39.848431,北京市丰台区石榴园北(公交站)
S0310,光彩路北站,116.41451,39.851081,光彩路北站(公交站)
S0311,赵公口桥南,116.414215,39.855289,北京市丰台区赵公口桥南(公交站)
S0312,赵公口桥西,116.409245,39.856858,北京市丰台区赵公口桥西(公交站)
S0313,木樨园桥东,116.404291,39.857298,北京市丰台区木樨园桥东(公交站)
S0314,木樨园桥北,116.400616,39.859805,北京市东城区木樨园桥北(公交站)
S0315,沙子口,116.399422,39.863983,北京市东城区沙子口(公交站)
S0316,永定门内,116.400122,39.873737,北京市东城区永定门内(公交站)
S0317,先农坛,116.400276,39.87764,北京市东城区先农坛(公交站)
S0318,天坛西门,116.399115,39.881949,北京市东城区天坛西门(公交站)
S0319,珠市口南,116.398604,39.888703,北京市东城区珠市口南(公交站)
S0320,大栅栏,116.394583,39.893889,北京市西城区大栅栏(公交站)
S0321,前门,116.39901,39.899185,北京市东城区前门(公交站)
S0322,天安门广场东,116.399588,39.901506,北京市东城区天安门广场东(公交站)
S0323,天安门东,116.401295,39.907647,北京市东城区天安门东(公交站)
S0326,北京站口东,116.428468,39.908551,北京站口东(公交站)
S0327,日坛路,116.441956,39.908588,北京市朝阳区日坛路(公交站)
S0328,永安里路口北,116.450264,39.911804,北京市朝阳区永安里路口北(公交站)
S0329,芳草地南,116.450391,39.914284,北京市朝阳区芳草地南(公交站)
S0330,芳草地,116.450295,39.918403,北京市朝阳区芳草地(公交站)
S0331,永安里路口西,116.446667,39.90842,北京市朝阳区永安里路口西(公交站)
S0332,天安门广场西,116.396004,39.902412,北京市东城区天安门广场西(公交站)
S0333,航天桥西,116.306076,39.923811,北京市海淀区航天桥西(公交站)
S0334,西钓鱼台,116.30175,39.923866,北京市海淀区西钓鱼台(公交站)
S0335,定慧寺东,116.286507,39.924263,北京市海淀区定慧寺东(公交站)
S0342,广安门南,116.350122,39.886536,北京市西城区广安门南(公交站)
S0343,椿树馆街,116.350056,39.88296,北京市西城区椿树馆街(公交站)
S0344,白纸坊桥南,116.349037,39.876637,北京市西城区白纸坊桥南(公交站)
S0345,菜户营桥北,116.348542,39.87145,北京市丰台区菜户营桥北(公交站)
S0346,菜户营桥东,116.353699,39.868801,北京市丰台区菜户营桥东(公交站)
S0351,永定门西,116.394644,39.872418,北京市西城区永定门西(公交站)
S0352,永定门东,116.405347,39.872925,北京市东城区永定门东(公交站)
S0353,天坛南门,116.412244,39.873125,北京市东城区天坛南门(公交站)
S0360,劲松南路西口,116.44635,39.880116,北京市朝阳区劲松南路西口(公交站)
S0361,光明桥,116.445417,39.884375,北京市朝阳区光明桥(公交站)
S0362,广渠门,116.444221,39.893608,北京市东城区广渠门(公交站)
S0363,建国门南,116.436198,39.904631,北京市朝阳区建国门南(公交站)
S0364,北京站东街,116.433529,39.905365,北京站东街(公交站)
S0365,北京站东,116.432048,39.905115,北京站东(公交站)
S0370,大观园西,116.351016,39.87099,北京市西城区大观园西(公交站)
S0371,白纸坊桥北,116.350304,39.879097,北京市西城区白纸坊桥北(公交站)
S0372,莲花池,116.3198,39.888533,北京市丰台区莲花池(公交站)
S0373,牡丹园西,116.367592,39.976566,北京市海淀区牡丹园西(公交站)
S0374,牡丹园,116.370022,39.975352,北京市海淀区牡丹园(公交站)
S0376,马甸桥南,116.380191,39.964527,北京市西城区马甸桥南(公交站)
S0377,德外关厢,116.379601,39.959511,北京市西城区德外关厢(公交站)
S0393,左家庄桥西,116.444883,39.949245,北京市朝阳区左家庄桥西(公交站)
S0395,北太平桥西,116.364961,39.967826,北京市海淀区北太平桥西(公交站)
S0397,北京站前街,116.427185,39.906868,北京市东城区北京站前街(公交站)
S0401,金台路口西,116.474258,39.923108,北京市朝阳区金台路口西(公交站)
S0403,延静里,116.483976,39.92286,北京市朝阳区延静里(公交站)
S0418,东大桥路口南,116.450382,39.921415,北京市朝阳区东大桥路口南(公交站)
S0434,大柳树北站,116.33567,39.953804,北京市海淀区大柳树北站(公交站)
S0439,展览路口北,116.344345,39.925228,北京市西城区展览路口北(公交站)
S0440,白云观,116.342279,39.900634,北京市西城区白云观(公交站)
S0441,白云桥西,116.339492,39.8973,北京市西城区白云桥西(公交站)
S0442,北京西站,116.319323,39.89724,北京市海淀区北京西站(公交站)
